,Lyrics
"""Call Me""",color color baby color car color color darling know come color chart know coming call call line call call anytime call call arrive call day night call cover kiss baby cover love roll designer sheet never get enough emotion come know cover love alibi call call line call call anytime call call arrive ready share wine call might also like ooh speaks language love ooh amore chiamami chiamami ooh appelle moi mon appelle moi anytime anyplace anywhere way anytime anyplace anywhere day way call take show put scene dress fashion man know word mean call call line call call day night call call arrive call call overtime call call call love call call anytime call call ride call call overtime call call love call call sweet design call call call lover lover alibi call call line call call anytime call call call call day night call ooh ooh ooh ooh call ooh call sleek design call ride call inside call night day call ooh ooh ooh ooh call call life call call time call call arrive call call overtime call call life call call sleek design call call call lover lover alibi call call life call call time call call ooh ooh ooh call call call life call call time 
"""Another Brick in the Wall, Part II""",asleep smith blackbird beatles mlk landslide fleetwood mac movie tunnel scene song hero david bowie smell like teen spirit nirvana vapour trail ride scarborough fair simon garfunkel whiter shade pale procol harum time reply nick drake dear prudence beatles gypsy suzanne vega night white satin moody blue daydream smashing pumpkin dusk genesis something beatles broken wing mister going home sung tim curry frank furter rocky horror picture show another brick wall part pink floyd autumn leaf song nat king cole simply name mixtape boy made charlie sister music group artist mentioned without reference specific song including village people blondie jim morrison john lennon slit billie holiday 
"""Magic""",come take hand know always mind know kind guiding building dream start road take make mistake guiding believe magic nothin stand way believe magic let aim ever stray hope survive destiny arrive bring dream alive bring dream alive might also like stand home free planet align rare promise air guiding every turn near come anytime call catch fall guiding believe magic nothin stand way believe magic let aim ever stray hope survive destiny arrive bring dream alive bring dream alive heyyyyyyyy believe magic nothin stand way believe magic let aim ever stray hope survive destiny arrive bring dream alive bring dream alive 
"""Rock with You""",girl close eye let rhythm get try fight nothin relax mind lay back groove mine got feel heat ride boogie share beat love wan rock night dance day sunlight wan rock night gon rock night away rock right floor nobody girl dance magic must love take slow cause got far might also like feel heat gon ride boogie share beat love wan rock night dance day sunlight wan rock night gon rock night away groove dead gone yeah know love survives rock forever wan rock wan groove wan rock wan groove wan rock night girl sunlight rock rock girl yeah night dance night away wan rock yeah night rock day sunlight wan rock night rock night away feel heat feel beat night rock day sunlight wan rock night rock night away 
"""Do That to Me One More Time""",one time never enough man like one time never get enough man like kiss like baby pas one time enough heart hear tell one time never hear enough got near say word like baby tell one time never enough man like woah one time never get enough man like might also like kiss like baby baby baby one time one time one time one time one time one time one 
"""Crazy Little Thing Called Love""",thing called love handle thing called love must get round ready crazy little thing called love thing thing called love called love cry like baby cradle night swing woo woo jive woo woo shake like jellyfish woo kinda like crazy little thing called love go baby know rock roll drive crazy give hot cold fever leaf cool cool sweat might also like got cool relax get hip get track take back seat hitch hike take long ride motorbike ready crazy little thing called love yeah got cool relax get hip get track take back seat hitch hike hum hum take long ride motorbike ready ready freddie crazy little thing called love thing called love handle thing called love must get round ready ooh ooh ooh ooh crazy little thing called love crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah 
"""Coming Up""",want love last forever one never fade away wan help problem stick around say coming ooh ooh coming yeah coming like flower coming say ooh want friend rely one never fade away searching answer stick around say coming ooh ooh coming coming like flower coming yeah might also like want peace understanding everybody free know get together make stick coming ooh ooh coming see coming like flower coming coming coming coming coming say coming like flower coming feel bone yeah yeah yeah yeah yay want better kind future one everyone share alone could use stick around nearly coming ooh ooh coming everywhere coming like flower coming share coming yeah coming way coming like flower coming 
"""Funkytown""",got make move town right town keep movin keep groovin energy well talk talk talk talk talk talk talk movin got move got move got move take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown might also like got make move town right town keep movin keep groovin energy well talk talk talk talk talk talk talk movin got move got move got move take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown yeah take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown take funkytown take take take take take take take take take take wan take funkytown wan take funkytown wan take funkytown wan take funkytown 
"""It's Still Rock and Roll to Me""",matter clothes wearing tell tie wide maybe buy old tab collar welcome back age jive hidin lately honey dress trashy til spend lot money everybody talkin bout new sound funny still rock roll matter car driving tell style get set whitewall tire gon cruise miracle mile nowadays sentimental best bet true baby blue continental hot funk cool punk even old junk still rock roll might also like matter say paper cause always old scene new band town get sound story magazine aimed average teen pair pink sidewinder bright orange pair pant could really beau brummel baby give half chance waste money new set speaker get mileage cheap pair sneaker next phase new wave dance craze anyways still rock roll alright richie woo ooh matter crowd seeing know touch try straight student think much know new fashion honey need look whole lotta money next phase new wave dance craze anyways still rock roll everybody talkin bout new sound funny still rock roll 
"""The Rose""",say love river drowns tender reed say love razor leaf soul bleed say love hunger endless aching need say love flower seed heart afraid breaking never learns dance dream afraid waking never take chance one taken seem give soul afraid dying never learns live night lonely road long think love lucky strong remember winter far beneath bitter snow lie seed sun love spring becomes roseyou might also like 
"""Escape (The Piña Colada Song)""",tired lady together long like worn recording favorite song lay sleeping read paper bed personal column letter read like coladas gettin caught rain yoga half brain like making love midnight dune cape love looked write escape think lady know sound kind mean old lady fallen old dull routine wrote paper took personal though nobody poet thought half bad might also like yes like coladas gettin caught rain much health food champagne got meet tomorrow noon cut red tape bar called malley plan escape waited high hope walked place knew smile instant knew curve face lovely lady said laughed moment said never knew like coladas gettin caught rain feel ocean taste champagne like making love midnight dune cape lady looked come escape like coladas gettin caught rain yoga half brain like making love midnight dune cape love looked write escape yes like coladas gettin caught rain much health food champagne got meet tomorrow noon cut red tape bar called malley plan escape 
"""Cars""",car feel safest lock door way live car car receive listen keep stable day car car image break visit please open door car car know started think leaving tonight although nothing seems right carsyou might also like 
"""Cruisin""",crusin baby let cruise away confused way clear want got forever one night stand baby yeah let music take mind ooh release find gon fly away glad goin way love cruisin together music played love cruisin made love love cruisin together baby tonight belongs everything right must inch inch get closer closer every little part ooh baby yeah might also like let music take mind release find gon fly away glad going way love cruisin together music played love cruisin made love love cruisin together cruise baby cruise baby cruise hooh hooh yeah baby cruise good cruise baby good cruise baby yeah need baby baby let cruise let flow let glide ooh let open inside want got forever stay inside love baby let music take mind release find gon fly away yeah glad going way love cruisin together music cruisin made love love cruisin together baby gon fly away baby glad going way love cruisin together music cruisin made love love love love love gon fly away yeah glad going way love cruisin together music played love cruisin made love love love love love gon fly away glad going way love cruisin together 
