,Lyrics
"""Theme from A Summer Place""",may rain storm yet safe warm within summer place arm reach heart free care know gloomy sky seen eye blessed love sweet secret summer place anywhere two people share hope dream love sweet secret summer place anywhere two people share hope dream love 
"""He'll Have to Go""",put sweet lip little closer phone let pretend together alone tell man turn jukebox way low tell friend whisper tell love true holding way though love blind make mind got know hang tell say word want hear another man want answer yes darling understand put sweet lip little closer phone let pretend together alone tell man turn jukebox way low tell friend goyou might also 
"""Cathy's Clown""",want love want kiss sure die time hear sound come cathy clown got stand tall know man crawl know telling lie hears passing man want love want kiss sure die time hear sound come cathy clown see shed tear know sincere think kind sad treating bad even care want love want kiss sure die time hear sound come cathy clown cathy clown cathy clownyou might also like 
"""Running Bear""",vocalization bank river stood running bear young indian brave side river stood lovely indian maid little white dove name lovely sight see tribe fought love could never running bear loved little white dove love big sky running bear loved little white dove love die swim raging river cause river wide reach little white dove waiting side moonlight could see throwing kiss cross wave little heart beating faster waiting brave might also like running bear loved little white dove love big sky running bear loved little white dove love die running bear dove water little white dove swam swirling stream came hand touched lip met raging river pulled always together happy huntin ground running bear loved little white dove love big sky running bear loved little white dove love die vocalization 
"""Teen Angel""",teen angel teen angel teen angel fateful night car stalled upon railroad track pulled safe went running back teen angel hear teen angel see somewhere still true love looking took life night said found high school ring clutched finger tight might also like teen angel hear teen angel see somewhere still true love sweet sixteen gone taken away never kiss lip buried today teen angel hear teen angel see somewhere still true love teen angel teen angel answer please 
"""I'm Sorry""",fool know love could cruel yes tell mistake part young right wrong done sorry sorry sorry sorry please accept apology love blind blind see yes tell mistake part young right wrong done yes sorry sorry please accept apology love blind blind see might also like sorry 
"""It's Now or Never""",never come hold tight kiss darling mine tonight tomorrow late never love wait first saw smile tender heart captured soul surrendered spent lifetime waiting right time near time last never come hold tight kiss darling mine tonight tomorrow late never love wait might also like like willow would cry ocean lost true love sweet devotion lip excite let arm invite know meet way never come hold tight kiss darling mine tonight tomorrow late never love wait never love wait never love wait never love wait never love wait 
"""Handy Man""",yeah yeah yeah yeah yeah hey girl gather round listen putting hey baby handy man kind use pencil rule handy love fool fix broken heart know really broken heart need repair man see whisper sweet thing tell friend come running main thing want say busy hour day fix broken heart know really broken heart need repair man see whisper sweet thing tell friend come running main thing want say busy hour day fix broken heart know really might also likecomma comma comma comma come come comma yeah yeah yeah yeah yeah comma comma comma comma come come yeah yeah yeah yeah 
"""Stuck on You""",shake apple apple tree shake shake sugar never shake sir going stick like glue stick stuck going run finger thru long black hair squeeze tighter grizzly bear yes sir going stick like glue stick stuck hide kitchen hide hall gon good cause catch kissing start team wild horse tear apart try take tiger daddy side love going keep tied yeah gon stick like glue stick stuck might also like hide kitchen hide hall gon good cause catch kissing start team wild horse tear apart try take tiger daddy side love going keep tied yes sir gon stick like glue yeah yeah stuck gon stick like glue yeah yeah stuck gon stick like glue yeah yeah stuck 
"""The Twist""",come baby let twist come baby let twist take little hand like yah twist baby baby twist ooh ooh ooh yeah like come little miss twist daddy sleepin mama around yeah daddy sleepin mama around gon twist twist twist til tear house come twist yeah baby twist ooh ooh ooh yeah like come little miss twist yah yeah see little si see little si really know rock know twist might also like come twist yeah baby twist ooh ooh ooh yeah like come little miss twist yeah mess round yeah twist night twist 
"""Everybody's Somebody's Fool""",tear cried could fill ocean care many tear cry though lead hurt bring say goodbye cause everybody somebody fool everybody somebody plaything exception rule yes everybody somebody fool told best forget though fool least know score yet darlin twice blue without hurt come running back cause everybody somebody fool everybody somebody plaything exception rule yes everybody somebody fool someday find someone really care love prove untrue know much heart mine breakin cry way cried might also like yes everybody somebody fool everybody somebody plaything exception rule yes everybody somebody 
"""Wild One""",wild one gon tame tame wild one get yet yeah yeah bet yeah yeah little doll play got new baby every day someday gon wild one make settle settle wild one clippa wing yeah yeah thing yeah yeah got lip mad got lip knock come wild one wild whoa yeah baby whoa whoa whoa yeah yeah wah wah wah wah might also like little doll play got new baby every day someday gon wild one make settle settle wild one clippa wing yeah yeah thing yeah yeah got lip mad got lip knock come wild one wild whoa yeah wah wah wah wah come wild one wild one wah wah wah wah come wild one wild wild 
"""Greenfields""",valley river used run blue sky white cloud high part everlasting love lover strolled greenfields greenfields gone parched sun gone valley river used run gone cold wind swept heart gone lover let dream depart greenfields used roam never know made run away keep searching dark cloud hide day know nothing nothing wide world left see keep waiting till return keep waiting day learn happy heart roam happy bring home might also likehome greenfields 
"""What in the World's Come Over You""",seems never get along ooh every night reminisce dreaming tender kiss world come wah wah ooh could ever change mind still dear waiting longing life loved never dreamed miss alone room night heart cry right world come could ever change mind still dear waiting longing might also likeall life loved never dreamed miss alone room night heart cry right world come wah wah ooh still angel guess always one real love 
"""El Paso""",west texas town paso fell love mexican girl nighttime would find rosa cantina music would play feleena would whirl blacker night eye feleena wicked evil casting spell love deep mexican maiden love vain could tell one night wild young cowboy came wild west texas wind dashing daring drink sharing wicked feleena girl love anger challenged right love maiden went hand gun wore challenge answered le heartbeat handsome young stranger lay dead floor moment stood silence shocked foul evil deed done many thought raced mind stood one chance run might also like back door rosa ran horse tied caught good one looked like could run back away ride fast could west texas town paso badlands new mexico back paso life would worthless everything gone life nothing left long since seen young maiden love stronger fear death saddled away riding alone dark maybe tomorrow bullet may find tonight nothing worse pain heart last hill overlooking paso see rosa cantina love strong push onward hill feleena right see five mounted cowboy left ride dozen shouting shooting let catch make rosa back door something dreadfully wrong feel deep burning pain side though trying stay saddle getting weary unable ride love feleena strong rise fallen though weary stop rest see white puff smoke rifle feel bullet deep chest nowhere feleena found kissing cheek kneel side cradled two loving arm die one little kiss feleena goodbye 
"""Alley Oop""",oop oop oop oop oop alley oop oop oop oop oop man funny paper know alley oop oop oop oop oop life way back long time ago alley oop oop oop oop oop eat nothin bear cat stew alley oop oop oop oop oop well cat name alley oop alley oop oop oop oop oop got chauffeur genuine dinosaur alley oop oop oop oop oop knuckle head count four alley oop oop oop oop oop got big ugly club head full hay alley oop oop oop oop oop like great big lion grizzly bear alley oop oop oop oop oop alley oop toughest man alive alley oop wearin clothes wildcat hide alley oop king jungle jive look cave man scream might also likehe ride thru jungle tearin limb offa tree alley oop oop oop oop oop knockin great big monstas dead knee alley oop oop oop oop oop cat bug cuz know bettah alley oop oop oop oop oop cuz mean motah scootah bad gettah alley oop oop oop oop oop alley oop toughest man alive alley oop wear clothes wildcat hide alley oop king jungle jive look cave man scream go alley oop oop oop oop oop look cave man alley oop oop oop oop oop sure hip alley oop oop oop oop oop like happening alley oop oop oop oop oop much alley oop oop oop oop oop ride daddy ride alley oop oop oop oop oop dinosawruh alley oop oop oop oop oop ride daddy ride alley oop oop oop oop oop get man alley oop oop oop oop oop like hipsville alley oop oop oop oop oop 
"""My Heart Has a Mind of Its Own""",told heart mine love could never hear voice something stir inside somehow dismiss memory kiss guess heart mind matter matter say matter try turn way someone new always think guess heart mind love forget used wrong yet know forgetting would hopeless thing puppet seem break string say let heart say guess heart mine guess heart mind ownyou might also 
"""Sweet Nothin's""",huh honey alright baby whisper ear mmm sweet nothin know thing like hear mmm sweet nothin thing tell nobody else secret baby keep sweet nothin mmm sweet nothin walk along hand hand mmm sweet nothin yeah understand mmm sweet nothin sittin classroom trying read book baby give special look sweet nothin mmm sweet nothin might also like sittin front porch mmm sweet nothin well love course mmm sweet nothin mama turned front porch light sayin come daughter enough tonight sweet nothin mmm sweet nothin sweet nothin mmm sweet nothin sweet nothin 
